term,description
Motion Sickness,"Motion sickness can start suddenly, with a queasy feeling and cold sweats. Read about how you can prevent motion sickness while traveling."
Liver Diseases,"Get the facts about liver diseases, such as hepatitis, cancer, and cirrhosis. Know your risk and what you can do to prevent liver problems."
Alcohol,Many people drink alcohol. Drinking too much can take a serious toll on your health. It's important to know how alcohol affects you and how much is too much.
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.
Pregnancy and Substance Use,"During pregnancy, substance use can harm your baby. Learn about why to stay away from smoking, drinking, and illegal drugs, and how to get help."
Underage Drinking,"Kids often begin drinking to look ""cool"" or fit in with their peers. Parents can help their kids avoid alcohol problems. Learn more."
Alcohol,Many people drink alcohol. Drinking too much can take a serious toll on your health. It's important to know how alcohol affects you and how much is too much.
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.
Alcohol Use Disorder (AUD) Treatment,An alcohol use disorder (AUD) is drinking that causes distress and harm. Learn about the medicines and behavioral therapies that treat AUD.
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.
Fatty Liver Disease,"With fatty liver disease, fat builds up in your liver. Learn about the two types: one is caused by heavy drinking and the other has an unknown cause."
Alcohol Use Disorder (AUD),An alcohol use disorder (AUD) is drinking that causes distress and harm. AUD can range from mild to severe (alcoholism). Learn the signs that you may have a problem with drinking.
Acute Lymphocytic Leukemia,Acute Lymphocytic Leukemia (ALL) or Acute Lymphoblastic Leukemia is a cancer of the white blood cells. Learn more about symptoms and treatment.
Aspergillosis,"Find out about symptoms, tests, and treatment of aspergillosis, a disease caused by a fungus."
Allergy,An allergy is a reaction by your immune system. Substances that cause reactions include pollen and food. Find the full list of allergies and symptoms.
Hay Fever,"Hay fever (Pollen Allergy) is a type of allergy triggered by pollen from trees, weeds and grasses. Learn the symptoms."
Allergy,An allergy is a reaction by your immune system. Substances that cause reactions include pollen and food. Find the full list of allergies and symptoms.
Food Allergy,Food allergy is an abnormal response triggered by your body's immune system. The reaction may be mild or severe (anaphylaxis). Learn more.
Latex Allergy,"A latex allergy causes rashes, asthma, or even anaphylaxis. Hundreds of everyday products contain latex. Learn what you need to know to avoid latex."
Hair Loss,"There are many causes for hair loss. One is alopecia areata, a disease that affects the hair follicles. Read about it and other hair loss issues here."
Alpha-1 Antitrypsin Deficiency,Alpha-1 Antitrypsin Deficiency is an inherited condition that raises your risk for lung and liver disease. Learn about the symptoms and treatment.
Vitamin E,Vitamin E is an antioxidant. It plays a role in your immune system and metabolic processes. People with certain disorders may need extra Vitamin E.
Amyotrophic Lateral Sclerosis,"ALS stands for Amyotrophic Lateral Sclerosis, also called Lou Gehrig's disease. ALS affects the nervous system, causing muscle problems. Find out how."
Complementary and Integrative Medicine,"Complementary and Integrative Medicine, also called alternative medicine includes treatments that are not part of mainstream medicine. Read more."
Cancer Alternative Therapies,There are options to consider when deciding about cancer treatment. Learn more about cancer alternative therapies that may help.
Alzheimer's Caregivers,Caring for someone who has Alzheimer's Disease can be stressful and overwhelming. It's important to take care of yourself. Learn how to find support.
Alzheimer's Disease,Alzheimer's disease is a brain disorder that slowly destroys memory and thinking skills. It's the most common cause of dementia among older adults.
Amblyopia,"Learn about amblyopia, or ""lazy eye,"" the most common cause of visual problems in children. It happens when an eye fails to work properly with the brain."
Macular Degeneration,"Macular degeneration, or age-related macular degeneration (AMD), causes vision loss in older adults. Learn about the types and what can help."
Menstruation,"Menstruation (or period) happens monthly. As the uterus sheds its lining, vaginal bleeding follows. Menstrual blood is made of blood and tissue."
Amino Acid Metabolism Disorders,Disorders like phenylketonuria (PKU) and maple syrup urine disease cause problems with how your body uses proteins. Learn more about them.
Acute Myeloid Leukemia,Acute Myeloid Leukemia (AML) is a cancer of the white blood cells. AML usually gets worse quickly if it is not treated. Read more.
Memory,"Did you forget where you put your keys? It's normal to forget things, but it can be a sign of memory problems. Read more on memory and memory loss."
Prenatal Testing,"Learn how prenatal testing checks on the health of you and your baby during pregnancy. Some tests are routine, and some are for women at high risk."
Club Drugs,"Club drugs are group of psychoactive drugs popular at bars, night clubs, and raves. They include MDMA (Ecstasy), GHB, and others. Learn more."
Methamphetamine,Methamphetamine (also known as meth or crystal meth) is a very addictive drug. Read about the signs of meth addiction and health problems it causes.
Artificial Limbs,"Artificial limbs, or prosthetics, can allow a person to do activities they might not be able to do otherwise. Learn more about artificial limbs."
Limb Loss,"Limb loss and amputations have different causes including birth defects, cancer and injuries. Physical therapy and counseling may help with recovery."
Amyloidosis,Amyloidosis is a rare condition that can affect different organs of the body. Find out about amyloidosis treatment and symptoms.
Amyotrophic Lateral Sclerosis,"ALS stands for Amyotrophic Lateral Sclerosis, also called Lou Gehrig's disease. ALS affects the nervous system, causing muscle problems. Find out how."
Anabolic Steroids,Thinking about using anabolic steroids to build muscles or improve your athletic performance? Think again. Misusing them is not legal or safe. It can cause long-term health problems.
Anal Cancer,"Anal cancer is rare. HPV is one of the most common causes. Find out more about anal cancer symptoms, diagnosis, and treatment."
Anal Disorders,"Anal disorders include hemorrhoids, fistulas, and abscesses. Learn about which anal conditions are minor and those that are more serious."
Pain Relievers,There are many pain relievers available. Read about over-the-counter vs. prescribed pain killers and how each might affect your health.
Anaphylaxis,"Anaphylaxis or anaphylactic shock is a serious allergic reaction. It can begin very quickly, and symptoms may be life-threatening. Read the symptoms."
Tick Bites,"Tick bites can spread many diseases, including Lyme disease and Rocky Mountain spotted fever. Learn how to prevent tick bites and what to do if you get bitten."
Anatomy,Anatomy is the science that studies the structure of the body. Learn about the organs and body parts.
Anemia,Anemia occurs when your blood doesn't carry enough oxygen to the rest of your body. Read about conditions that lead to it and treatments available.
Neural Tube Defects,"Neural tube defects are birth defects of the brain, spine, or spinal cord. They happen in the first month of pregnancy. Learn how to prevent them."
Anesthesia,"Local, regional, general - all are types of anesthesia. Learn about how anesthesia reduces or blocks pain before a surgery."
Aneurysms,An aneurysm is a bulge in the wall of an artery. It can develop and grow for years without causing any symptoms. Learn about tests and treatment.
Vasculitis,"Vasculitis, also called Angiitis, is an inflammation of the blood vessels. Learn about symptoms and treatment."
Angina,Angina is chest pain or discomfort when there is not enough blood flow to your heart muscle. Learn about angina symptoms and treatment.
Angioplasty,Angioplasty is a procedure to restore blood flow through narrow or blocked arteries. Learn about how stents and angioplasty work.
Animal Bites,Wild animals might attack if they are threatened or acting protective. Attacks by pets are more common. Learn how to avoid both types of animal bites.
Animal Diseases and Your Health,You may know that some animal diseases can have an effect on humans. Find out more about animal diseases and your health.
Animal Diseases and Your Health,You may know that some animal diseases can have an effect on humans. Find out more about animal diseases and your health.
Pet Health,Keeping your pet healthy is your responsibility as a pet owner. Know the signs of medical problems and what to look out for.
Ankle Injuries and Disorders,Ankle injuries and ankle disorders can affect tendons and cartilage. Learn about different kinds of ankle problems including sprains and fractures.
Ankylosing Spondylitis,Ankylosing spondylitis is a type of arthritis. It causes inflammation between vertebrae and in the joints between spine and pelvis. Learn more.
Health Checkup,Regular health exams and tests can help find problems before they start. Learn about what you can do to make the most of your next check-up.
Eating Disorders,"Did you know that more women than men have eating disorders? Learn more about eating disorders such as bulimia, anorexia, and binge eating."
Taste and Smell Disorders,Taste and smell disorders can have many causes such as colds and head injuries. Some medications can also affect taste and smell.
Knee Injuries and Disorders,"Knee injuries and knee disorders can cause pain, swelling and stiffness. Knee problems can be affected by rheumatic diseases and cartilage damage."
Anthrax,"You probably won't have to worry about getting anthrax disease.  We offer information about anthrax symptoms, causes, vaccine, and treatment."
Blood Thinners,Anticoagulant and antiplatelet drugs are blood thinners. They reduce risk of heart attacks and help keep blood clots from forming. Learn more.
Antibiotic Resistance,Antibiotics can save lives. But when they are not used properly they can become less effective. Use them only when necessary to combat antibiotic resistance.
Antibiotics,"Used properly, antibiotics can save lives by fighting bacterial infections. Read about how to use antibiotics and about when not to use antibiotics."
Blood Thinners,Anticoagulant and antiplatelet drugs are blood thinners. They reduce risk of heart attacks and help keep blood clots from forming. Learn more.
Antidepressants,"Many people take antidepressants. Learn about antidepressant side effect, the different types of antidepressants, and more."
Blood Pressure Medicines,"If lifestyle changes do not help to control or lower high blood pressure (hypertension), your health care provider may prescribe blood pressure medicines."
Antibiotic Resistance,Antibiotics can save lives. But when they are not used properly they can become less effective. Use them only when necessary to combat antibiotic resistance.
Antioxidants,Antioxidants can protect cells against free radicals that can cause damage. But there is a lot of misinformation. Get the facts.
Personality Disorders,People with personality disorders have trouble dealing with everyday stresses and problems. There are many types of personality disorders. Read more.
Anxiety,It's normal to be anxious at times. It may be time to get help if anxiety attack is severe or when anxiety doesn't stop. Learn about anxiety disorders.
Aortic Aneurysm,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries carry oxygen-rich blood from the heart to the rest of the body. Learn more."
Aortic Aneurysm,"An aneurysm is a bulge or ""ballooning"" in the wall of an artery. Arteries carry oxygen-rich blood from the heart to the rest of the body. Learn more."
Heart Valve Diseases,Heart valve disease happens when one or more of your heart valves do not open or close correctly. This can affect your blood flow and strain your heart.
Aphasia,"Aphasia is a disorder caused by damage to the parts of the brain that control language. It can make it hard for you to read, write, and speak."
Canker Sores,Canker sores (Aphthous ulcers) are painful sores inside of the mouth. They are non-cancerous but can cause viral infections. Read about the triggers.
Aplastic Anemia,"Aplastic anemia is a rare but serious blood disorder. If you have it, your bone marrow doesn't make enough new blood cells. Read more on the causes."
Sleep Apnea,Sleep apnea is a common disorder that causes your breathing to stop or get very shallow while you sleep. Discover sleep apnea symptoms and treatment.
Appendicitis,"You don't have to be young to have appendicitis. Learn to identify signs, symptoms and more about this painful and serious condition."
Meningitis,Meningitis or spinal meningitis is inflammation of the tissue around the brain and spinal cord. Discover the differences between types of meningitis.
Respiratory Failure,Respiratory failure happens when not enough oxygen passes from your lungs to your blood. Lung diseases can cause respiratory failure. Read more.
Arm Injuries and Disorders,"Arm injuries and arm disorders can be caused by nerve problems, cancers, sprains, dislocations, Tendinitis and conditions such as Arthritis."
Chiari Malformation,Chiari Malformation (CMs) is a congenital condition in which brain tissue extends to the spinal canal. Learn about the different types and symptoms.
Arrhythmia,"Arrhythmia, also called irregular heartbeat comes in different types. The most common is atrial fibrillation. Read about symptoms and treatment."
Arsenic,"Arsenic can be in food, soil, and water. Low levels will probably not hurt you, but higher levels can cause problems. Learn more about arsenic."
Atherosclerosis,Atherosclerosis is hardening and narrowing of the arteries caused by the buildup of a fatty substance called plaque. Learn about the risks and prevention.
Peripheral Arterial Disease,Peripheral arterial disease (PAD) happens when there is a narrowing of the blood vessels outside of your heart. Learn about symptoms and treatment.
Coronary Artery Disease,Coronary artery disease (CAD) is the most common type of heart disease. It can lead to angina and heart attack. Read about symptoms and tests.
Arteriovenous Malformations,"Arteriovenous malformations (AVMs) are defects in your arteries, veins, and capillaries. They are common in the brain and spine. Find out more."
Arthritis,"Arthritis can cause pain, swelling and stiffness in and around the joints. Learn about the different types of Arthritis and how they can affect you."
Joint Disorders,Joint disorders are caused by diseases and injuries. Treatments and therapies depend on the cause and range from pain relievers to surgery.
Hip Replacement,Hip arthroplasty (or hip replacement surgery) involves replacing a damaged hip joint with an artificial one to reduce pain and improve mobility.
Joint Disorders,Joint disorders are caused by diseases and injuries. Treatments and therapies depend on the cause and range from pain relievers to surgery.
Knee Replacement,Knee replacement surgery (or knee arthroplasty) provides artificial knees in place of your damaged knees to restore function and relieve pain.
Joint Disorders,Joint disorders are caused by diseases and injuries. Treatments and therapies depend on the cause and range from pain relievers to surgery.
Nutritional Support,Nutritional support is therapy for people who do not get enough nourishment by eating or drinking. Read about the process of gaining nutrients.
Infertility,"Infertility is when a woman can't get pregnant after a year or keeps having miscarriages. Read about infertility, its causes, and treatments."
Cataract,A cataract is a clouding of the lens in your eye. It affects your vision. Cataracts are very common in older people. Learn about symptoms and surgery.
Refractive Errors,"Are you nearsighted, farsighted, or have astigmatism? That's a refractive error, caused by an irregular-shaped cornea or lens. Learn how it's treated."
Artificial Limbs,"Artificial limbs, or prosthetics, can allow a person to do activities they might not be able to do otherwise. Learn more about artificial limbs."
Asbestos,Asbestos is the name of a group of minerals with thin fibers. Breathing high levels of asbestos can lead to mesothelioma or lung cancer. Read more.
Asbestos,Asbestos is the name of a group of minerals with thin fibers. Breathing high levels of asbestos can lead to mesothelioma or lung cancer. Read more.
Vitamin C,"Vitamin C is an antioxidant.  It is important for your skin, bones, and connective tissue. It promotes healing and helps the body absorb iron."
Meningitis,Meningitis or spinal meningitis is inflammation of the tissue around the brain and spinal cord. Discover the differences between types of meningitis.
Osteonecrosis,"Osteonecrosis (Avascular Necrosis) is marked by a loss of blood supply to the bones, causing bone to break down faster than the body make new bone."
Autism Spectrum Disorder,"Find out about autism spectrum disorder symptoms, causes, treatment, and other issues related to this developmental disorder."
Aspergillosis,"Find out about symptoms, tests, and treatment of aspergillosis, a disease caused by a fungus."
Critical Care,Critical care (also called intensive care) helps people with life-threatening injuries and illnesses. Learn what to expect and how to prepare.
Assisted Living,Many people need help as they age. Assisted living facilities can provide care that you or you loved ones may need. Learn more.
Assisted Reproductive Technology,Learn about treating infertility with assisted reproductive technology (ART). It includes procedures like in vitro fertilization (IVF).
Assistive Devices,Learn about assistive devices and how they can help you if you are disabled or injured.
Asthma,Asthma causes one's airways to become sore and swollen. An attack means a person's lungs are getting less air. Learn about two types of treatment.
Asthma in Children,"Children's airways are small, making asthma more serious for them. Learn the symptoms, what can cause an attack, and long term treatments."
Refractive Errors,"Are you nearsighted, farsighted, or have astigmatism? That's a refractive error, caused by an irregular-shaped cornea or lens. Learn how it's treated."
Cerebellar Disorders,"Cerebellar disorders are problems with the cerebellum, an area of the brain that controls coordination and balance. Ataxias is one of these disorders."
Degenerative Nerve Diseases,Neurodegenerative (degenerative nerve) diseases are disorders that destroy motor neurons. Parkinson's is an examples. See a list of all the diseases.
Friedreich Ataxia,Friedreich ataxia (FA) is an inherited disease that damages your nervous system. Symptoms usually begin between ages 5 and 15. Learn the symptoms.
Movement Disorders,"Movement disorders can be caused by nerve diseases, autoimmune diseases, infections and more. Many movement disorders are inherited."
Ataxia Telangiectasia,"Ataxia Telangiectasia (AT) is an inherited disease that affects several body systems, including the nervous system and immune system. Learn more."
Collapsed Lung,"There are two types of collapsed lung: pneumothorax (a total collapse) and atelectasis (partial collapse). Learn the symptoms, causes, and treatment."
Atherosclerosis,Atherosclerosis is hardening and narrowing of the arteries caused by the buildup of a fatty substance called plaque. Learn about the risks and prevention.
Coronary Artery Disease,Coronary artery disease (CAD) is the most common type of heart disease. It can lead to angina and heart attack. Read about symptoms and tests.
Athlete's Foot,"Athlete's foot (tinea pedis) is a contagious fungal infection that can affect any part of the foot, but usually begins between the toes. Learn more."
Eczema,"Eczema is a general term for different types of rashes. Atopic dermatitis, the most common type, is an allergic skin reaction. Read about treatments."
Atrial Fibrillation,Atrial fibrillation (AF or AFib) is the most common type of arrhythmia (irregular heartbeat). Read about symptoms and treatment.
Attention Deficit Hyperactivity Disorder,Does your child have trouble paying attention? This may be a symptom of attention deficit hyperactive disorder (often called ADHD or ADD). Read more.
Acoustic Neuroma,An acoustic neuroma is a benign tumor that grows on the cranial nerve that connects the ear to the brain. It can affect hearing and balance nerves.
Autism Spectrum Disorder,"Find out about autism spectrum disorder symptoms, causes, treatment, and other issues related to this developmental disorder."
Autism Spectrum Disorder,"Find out about autism spectrum disorder symptoms, causes, treatment, and other issues related to this developmental disorder."
Autoimmune Diseases,"Autoimmune diseases are where your immune system attacks healthy cells in your body by mistake. Learn about the symptoms, tests, and treatments."
Autoimmune Diseases,"Autoimmune diseases are where your immune system attacks healthy cells in your body by mistake. Learn about the symptoms, tests, and treatments."
Sudden Cardiac Arrest,"In sudden cardiac arrest (SCA), an irregular heart rhythm causes the heart to stop beating. Without quick treatment, it causes sudden cardiac death. Find out more."
Motor Vehicle Safety,Every year thousands of people in the U.S. die from car crashes. Read about how to be safe on the road.
Autonomic Nervous System Disorders,"Dysautonomia is a disorder of the autonomic nervous system, which controls functions such as breathing and heartbeat. Read more about these disorders."
Osteonecrosis,"Osteonecrosis (Avascular Necrosis) is marked by a loss of blood supply to the bones, causing bone to break down faster than the body make new bone."
Bird Flu,"The bird flu (also known as influenza A or the avian flu) primarily infects birds, but can pose health risks to people. Learn how to avoid this flu."
Arteriovenous Malformations,"Arteriovenous malformations (AVMs) are defects in your arteries, veins, and capillaries. They are common in the brain and spine. Find out more."
B Vitamins,Do you get enough B vitamins in your diet? Not enough Vitamin B12 or Vitamin B6 can cause anemia. Find out what B vitamins do for your body.
Tick Bites,"Tick bites can spread many diseases, including Lyme disease and Rocky Mountain spotted fever. Learn how to prevent tick bites and what to do if you get bitten."
Postpartum Depression,Postpartum (post-pregnancy) depression can begin anytime within the first year after childbirth. Learn about the symptoms of postpartum depression.
Infant and Newborn Care,Going home with a new baby is exciting but it can be scary too. Read about the changes a newborn goes through and also see tips for proper baby care.
Baby Health Checkup,You care about your baby's health. Make sure you get regular checkups for your baby.
Back Injuries,"Back injuries can affect your range of motion. Common back injuries include sprains and strains, herniated discs and fractured vertebrae."
Back Pain,Lumbago is pain on the lower part of your back. Back pain is very common. Treatment varies from medicines to surgery depending on the cause and kind of pain.
Sepsis,"Sepsis is a serious illness and can lead to a life threatening condition called septic shock. Read about symptoms, treatment and risk factors for sepsis."
Bacterial Infections,There are many types of bacterial infections. Learn about bacterial infections that can make you sick and how to treat them.
Vaginitis,"Vaginitis, and vulvovaginitis, are an inflammation or infection of the vagina. They can cause itching, pain, discharge, and odor.  Learn about causes and treatment."
Bad Breath,There are many reasons why you might have bad breath (also known as halitosis) including a lack of dental hygiene. Learn about how you can prevent it.
Knee Injuries and Disorders,"Knee injuries and knee disorders can cause pain, swelling and stiffness. Knee problems can be affected by rheumatic diseases and cartilage damage."
Balance Problems,"Balance problems can be caused by aging, infections, head injury, medications, and other health problems."
Penis Disorders,"Penis disorders can cause pain and affect a man's sexual function and fertility. Read about the types of problems, including symptoms and treatments."
Weight Loss Surgery,"Is weight loss surgery for you? Learn about types of surgery including bariatric surgery, bypass surgery, gastric banding, and more."
Barotrauma,Changes in barometric or water pressure can cause injury to your body (Barotrauma). An example is how a change in altitude can make your ears hurt.
Esophagus Disorders,"You esophagus is the tube that carries food and liquids from your mouth to your stomach. Esophagus problems include GERD (reflux), cancer, esophagitis, and spasms. Learn about symptoms and treatments."
Skin Cancer,"Try ABCDE on a mole to check for signs of skin cancer: Asymmetry, Border, Color, Diameter, Elevation. Learn more on advanced detection and treatments."
