condition,clinical_description,simplified_explanation,plain_explanation,symptoms
Fibromyalgia,"Fibromyalgia is a long-term condition that involves widespread body pain. The pain happens along with fatigue. It also can involve issues with sleep, memory and mood. Researchers think that fibromyalgia affects the way the brain and spinal cord process painful and nonpainful signals. That increases your overall sensitivity to pain. Symptoms often start after a triggering event. Triggers can include injuries, surgery, infections or emotional stress. Or the symptoms can build up over time, with no single event to trigger them. Women are more likely to get fibromyalgia than are men. Many people who have fibromyalgia also have: Headaches. Jaw and facial pain due to temporomandibular joint (TMJ) disorders. Irritable bowel syndrome. Anxiety. Depression. There's no cure for fibromyalgia. But medicines and other treatments can help control the symptoms. Exercise, talk therapy and techniques that lower stress also may help.","Fibromyalgia is a long-term condition that causes widespread pain all over the body. It often comes with fatigue, sleep problems, and issues with memory or mood. Experts believe it affects how the brain and spinal cord process pain signals, making you more sensitive to pain.
Symptoms can start after a physical or emotional event, or they may appear slowly over time.
Fibromyalgia is more common in women and often comes with other problems like headaches, jaw pain, stomach issues, anxiety, or depression.
There’s no cure, but medicine, gentle exercise, therapy, and stress-reduction techniques can help manage symptoms.","Fibromyalgia is when you feel pain all over your body and it's hard to sleep. It also makes you feel tired. People don't know exactly why it happens, but it might be because of an injury or stress.","- Pain all over your body.
- Trouble sleeping.
- Feeling tired all the time.
- Headaches.
- Jaw and face pain."
Folliculitis,"Folliculitis is a common skin condition that happens when hair follicles become inflamed. It's often caused by an infection with bacteria. At first it may look like small pimples around the tiny pockets from where each hair grows (hair follicles). The condition can be itchy, sore and embarrassing. The infection can spread and turn into crusty sores. Mild folliculitis will likely heal without scarring in a few days with basic self-care. More-serious or repeat infections may need prescription medicine. Left untreated, severe infections can cause permanent hair loss and scarring. Certain types of folliculitis are known as hot tub rash and barber's itch.","Folliculitis is a skin condition where the hair follicles get inflamed, usually from a bacterial infection. It can look like small pimples around the base of hairs and may be itchy or painful.
In mild cases, it goes away in a few days with basic care, like cleaning the area and avoiding shaving or tight clothing.
More serious or repeat infections may need prescription creams or pills. If left untreated, it can lead to scars or permanent hair loss.
There are special names for certain types, like “hot tub rash” or “barber’s itch.”",Folliculitis is when your hair follicles get inflamed and it looks like little pimples on your skin.,"- Itchy skin around the pimples
- Sore or painful spots on your skin
- Red or yellow pimples
- Crusty sores that may smell bad

Remember, if your folliculitis doesn't go away or it gets worse, you should talk to your doctor because they might need to give you medicine to help it heal."
Gallstones,"Gallstones are hardened deposits of digestive fluid that can form in your gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. The gallbladder holds a digestive fluid called bile that's released into your small intestine. Gallstones range in size from as small as a grain of sand to as large as a golf ball. Some people develop just one gallstone, while others develop many gallstones at the same time. People who experience symptoms from their gallstones usually require gallbladder removal surgery. Gallstones that don't cause any signs and symptoms typically don't need treatment.","Gallstones are hard lumps that form in the gallbladder, a small organ under your liver that helps with digestion. They’re made from digestive fluids and can be as small as a grain of sand or as big as a golf ball.
Some people have just one gallstone, while others have many. Most people don’t feel anything, but if a gallstone blocks a bile duct, it can cause pain, nausea, or digestive problems.
If gallstones cause symptoms, the usual treatment is to remove the gallbladder with surgery. If there are no symptoms, treatment might not be needed.","Gallstones are like small, hard stones that can form in your gallbladder. A gallbladder is a small organ that sits near your liver and helps digest food. Bile is a fluid that helps digest food and is stored in the gallbladder. Sometimes, bile can harden into stones. These stones can be small or large, and some people get many of them at once. If the stones cause problems, they might need to be removed with surgery. But if they don't cause any issues, they don't usually need treatment.","- Abdominal pain: This is often the most common symptom of gallstones. It can feel sharp or dull and can happen in the upper right side of your abdomen.
- Nausea and vomiting: This can happen when the gallstones block the ducts that carry bile to your small intestine.
- Diarrhea: This can also happen when the gallstones block the ducts and cause bile to back up in your gallbladder.
- Fever: In some cases, gallstones can cause a fever, especially if they're infected."
Glaucoma,"Glaucoma is an eye condition that damages the optic nerve. This damage can lead to vision loss or blindness. The optic nerve sends visual information from your eye to the brain and is vital for good vision. Damage to the optic nerve is often related to high pressure in the eye. But glaucoma can happen even with typical eye pressure. Glaucoma can happen at any age but is more common in older adults. It is one of the leading causes of blindness for people over the age of 60. Many forms of glaucoma have no warning signs. The effect is so gradual that you may not notice a change in vision until the condition is in its later stages. It's important to have regular eye exams that include measurements of your eye pressure. If glaucoma is found early, vision loss can be slowed or prevented. If you have glaucoma, you'll need treatment or monitoring for the rest of your life.","Glaucoma is an eye disease that damages the optic nerve, which carries signals from your eyes to your brain. This damage can lead to vision loss or blindness, especially if it’s not caught early. It’s often caused by high pressure inside the eye, but not always.
Glaucoma is more common in older adults, and many people don’t notice symptoms until the disease is advanced. That’s why regular eye exams are important — they can help catch it before vision is lost.
If caught early, treatment can slow or prevent vision loss. Most people with glaucoma need ongoing treatment or monitoring for life.","Glaucoma is a health problem with the eyes that can cause blindness. This happens when the nerve that helps us see gets damaged. It's like a road that helps us get where we need to go, but if it's broken, we can't get there. The damage usually happens because of high pressure in the eye. But sometimes, it can happen even when the pressure is normal. Glaucoma happens more often when we get older. It's a big cause of blindness for people over 60. Sometimes, there are no warning signs. It's important to get checked regularly by a doctor who will check the pressure in your eyes. If we find glaucoma early, we can try to stop or slow down the damage so we don't lose our vision. If you have glaucoma, you'll need to keep getting checked and possibly get treatment or monitoring to keep your eyes healthy.",
Hashimoto's disease,"Hashimoto's disease is an autoimmune disorder affecting the thyroid gland. The thyroid is a butterfly-shaped gland located at the base of the neck just below the Adam's apple. The thyroid produces hormones that help regulate many functions in the body. An autoimmune disorder is an illness caused by the immune system attacking healthy tissues. In Hashimoto's disease, immune-system cells lead to the death of the thyroid's hormone-producing cells. The disease usually results in a decline in hormone production (hypothyroidism). Although anyone can develop Hashimoto's disease, it's most common among middle-aged women. The primary treatment is thyroid hormone replacement. Hashimoto's disease is also known as Hashimoto's thyroiditis, chronic lymphocytic thyroiditis and chronic autoimmune thyroiditis.","Hashimoto’s disease is an autoimmune condition that affects the thyroid, a gland in the neck that helps control energy and other body functions. In this disease, the immune system attacks the thyroid, causing it to stop making enough hormones — a condition called hypothyroidism.
This can lead to tiredness, weight gain, feeling cold, and other symptoms. Hashimoto’s is most common in middle-aged women, but it can affect anyone.
There’s no cure, but it’s treatable with thyroid hormone pills, which help the body work normally again.",Hashimoto's disease is when your body's immune system attacks and kills the cells that make the thyroid hormones. The thyroid gland is like a butterfly-shaped gland in your neck that makes these hormones. These hormones are super important for our bodies to work normally. A lot of people get Hashimoto's disease when they are older. The good news is that we can take medicine to replace the hormones the thyroid makes.,"- You might feel tired or weak all the time.
- You might have trouble losing weight.
- You might feel cold when it's not that cold outside.
- You might feel like your skin is dry and flaky."
Heartburn,"Heartburn is a burning pain in your chest, just behind your breastbone. The pain is often worse after eating, in the evening, or when lying down or bending over. Occasional heartburn is common and no cause for alarm. Most people can manage the discomfort of heartburn on their own with lifestyle changes and nonprescription medications. Heartburn that is more frequent or interferes with your daily routine may be a symptom of a more serious condition that requires medical care.","Heartburn is a burning pain in the chest, usually behind the breastbone. It often happens after eating or when lying down and is caused by stomach acid moving up into the esophagus.
Occasional heartburn is common and usually not serious. Most people can manage it with lifestyle changes and over-the-counter medicine.
But if heartburn happens often or interferes with daily life, it could be a sign of a more serious condition and should be checked by a doctor.",* Heartburn is when you feel a burning pain in your chest. It’s like your heart is being squeezed from the inside out.,"- The pain is often worse after eating, especially if you’re eating spicy or greasy foods.
- It can happen in the evening, when you’re trying to sleep.
- Sometimes, it can feel like you have a lump in your throat.
- You may also feel a sour or bitter taste in your mouth."
Idiopathic hypersomnia,"Idiopathic hypersomnia is a condition that causes people to be very sleepy during the day even after a full night of sleep. People with the condition have trouble waking up from sleep. They also may wake up confused and disoriented. Naps typically don't lead to feeling refreshed. Idiopathic hypersomnia is not common, and the cause of the condition is not known. The need to sleep can strike at any time, including when driving a car or working. This makes idiopathic hypersomnia potentially dangerous. The condition often develops slowly over time. Diagnosing idiopathic hypersomnia requires ruling out more common sleep conditions. Treatment aims to control symptoms with medicine.","Idiopathic hypersomnia is a condition where people feel extremely sleepy during the day, even after getting a full night of sleep. They may also have a hard time waking up and feel confused or groggy.
Naps don’t help, and sleepiness can happen at dangerous times, like while driving. The cause is unknown, and the condition is rare.
It usually develops slowly over time. Doctors diagnose it by ruling out other sleep problems. There’s no cure, but medication can help manage symptoms.","Idiopathic hypersomnia means that the person has a problem falling asleep or staying asleep at night, and then they still feel very tired during the day.","- They fall asleep easily during the day, even if they're doing something they should be alert for, like driving a car or working.
- They wake up feeling very confused and disoriented.
- They have trouble falling asleep at night.
- They nap a lot, but it doesn't make them feel refreshed."
Indigestion,"Indigestion — also called dyspepsia or an upset stomach — is discomfort in your upper abdomen. Indigestion describes certain symptoms, such as belly pain and a feeling of fullness soon after you start eating, rather than a specific disease. Indigestion can also be a symptom of other digestive disorders. Although indigestion is common, each person may experience indigestion in a slightly different way. Symptoms of indigestion may be felt occasionally or as often as daily. Indigestion may often be relieved with lifestyle changes and medicines.","Indigestion, also called dyspepsia or an upset stomach, is discomfort in the upper belly. It might feel like pain, bloating, or getting full too fast while eating.
It’s a common problem and can happen once in a while or more often. Some people feel it daily, while others only get it occasionally.
Indigestion can be caused by food, stress, or other medical problems. It’s often managed with diet changes, stress management, and medicine.","Indigestion is when your stomach feels uncomfortable and doesn't work properly. It's like when you have a bad stomach ache after eating too much food. Indigestion isn't a disease, but it can be a symptom of other problems with your digestive system. Everyone's indigestion is a little bit different, but some people might feel a burning pain in their belly, or a fullness that comes on quickly after eating. Indigestion can often be fixed with changes to your diet and lifestyle, or with medicine.","- Belly pain: A feeling of pain or discomfort in your stomach area.
- Fullness soon after eating: Feeling full or uncomfortable soon after you start eating.
- Burping or bloating: Gas or air bubbles in your stomach that make you burp or feel bloated.
- Nausea or vomiting: Feeling sick or throwing up after eating."
Keratoconus,"Keratoconus (ker-uh-toe-KOH-nus) is an eye condition in which the clear, dome-shaped front of the eye, called the cornea, gets thinner, steeper and bulges outward into a cone shape. A cone-shaped cornea causes blurred vision and may cause sensitivity to light and glare. Keratoconus usually affects both eyes. However, it can affect one eye more than the other. It generally begins to affect people between the late teens and 30 years of age. The condition may progress slowly for 10 years or longer. In the early stages of keratoconus, you might be able to correct vision problems with glasses or soft contact lenses. Later, you may have to be fitted with rigid, gas permeable contact lenses or other types of lenses, such as scleral lenses. If your condition gets worse, you may need a cornea transplant. A procedure called corneal collagen cross-linking may help to slow or stop keratoconus from progressing, possibly preventing the need for a future cornea transplant. This treatment may be offered in addition to the vision correction options above.","Keratoconus is an eye condition where the front part of the eye, called the cornea, becomes thin and bulges into a cone shape. This causes blurry vision and sensitivity to light.
It usually starts between the late teens and early 30s and may get worse over 10 years or more. Glasses or soft lenses may help early on, but many people need special hard lenses as the condition gets worse.
In more serious cases, a cornea transplant may be needed. A procedure called corneal cross-linking can also help slow or stop the condition from getting worse.","---

 Keratoconus is when the clear, dome-shaped part of your eye gets thinner and flatter, and can't see well. It's like a mushroom on your eye that's too big.","- Blurry vision
- Double vision
- Light sensitivity
- Glare sensitivity"
Klinefelter syndrome,"Klinefelter syndrome is a common condition that results when a person assigned male at birth has an extra copy of the X sex chromosome instead of the typical XY. Klinefelter syndrome is a genetic condition that occurs before birth, but it often isn't diagnosed until adulthood. Klinefelter syndrome may affect testicular growth. This results in smaller testicles, which can lead to making less of the hormone testosterone. The syndrome also may cause smaller muscle mass, less body and facial hair, and extra breast tissue. The effects of Klinefelter syndrome vary, and not everyone has the same symptoms. Most people with Klinefelter syndrome produce little or no sperm, but assisted reproductive procedures may make it possible for some people with Klinefelter syndrome to have biological children.","Klinefelter syndrome is a genetic condition that happens when someone assigned male at birth has an extra X chromosome. This affects how the body grows and develops, especially in puberty. It may cause smaller testicles, lower testosterone levels, and changes like less facial hair or more breast tissue.
Not everyone with Klinefelter syndrome has the same symptoms. It’s often not diagnosed until adulthood.
Many people with this condition have low or no sperm, but fertility treatments may help some have biological children. Support and hormone therapy can help with symptoms.",Klinefelter syndrome is when a boy is born with one extra X chromosome instead of two XY chromosomes. This can happen before birth and may not be found out until a person grows up.,"- Smaller testicles
- Less testosterone, which can cause less muscle mass and hair
- Extra breast tissue
- Less sperm production, but assisted reproductive procedures can make it possible to have kids"
Laryngitis,"Laryngitis is an inflammation of your voice box (larynx) from overuse, irritation or infection. Inside the larynx are your vocal cords — two folds of mucous membrane covering muscle and cartilage. Normally, your vocal cords open and close smoothly, forming sounds through their movement and vibration. How speech occurs Speech occurs when air flows from the lungs, up the windpipe (trachea) and through the voice box (larynx). This causes the vocal cords to vibrate, creating sound. Sound is shaped into words by the muscles controlling the soft palate, tongue and lips. Vocal cords open and closed Vocal cords open when you breathe and then close to produce sound when vibrating together. But with laryngitis, your vocal cords become inflamed or irritated. This makes the vocal cords swell, which distorts the sounds produced by air passing over them. As a result, your voice sounds hoarse. In some cases of laryngitis, your voice can become almost undetectable. Laryngitis may be short-lived (acute) or long lasting (chronic). Most cases of laryngitis are triggered by a temporary viral infection and aren't serious. Persistent hoarseness can sometimes signal a more serious underlying medical condition.","Laryngitis is when the voice box (larynx) gets swollen, usually from overuse, a cold, or irritation. The vocal cords inside the larynx help you speak by vibrating when air passes over them. When they’re swollen, your voice may sound hoarse or even disappear.
Laryngitis can be short-term (from a virus) or long-lasting (from smoking or overuse). Most cases go away on their own in a few days.
If hoarseness lasts a long time, it could be a sign of another problem and should be checked by a doctor.","---

 Laryngitis is when your voice box (larynx) gets inflamed or irritated. This can happen because you talk too much, smoke, or get a virus. It can also happen because of allergies or cancer.","- **Hoarse voice:** Your voice may sound rough or strained when you talk.
- **Noise or pain when swallowing:** You might hear a strange noise or feel pain when you swallow.
- **Cough:** A dry, persistent cough is common with laryngitis.
- **Sore throat:** Your throat might feel sore or scratchy."
