condition,clinical_description,simplified_explanation
Fibromyalgia,"Fibromyalgia is a long-term condition that involves widespread body pain. The pain happens along with fatigue. It also can involve issues with sleep, memory and mood. Researchers think that fibromyalgia affects the way the brain and spinal cord process painful and nonpainful signals. That increases your overall sensitivity to pain.
Symptoms often start after a triggering event. Triggers can include injuries, surgery, infections or emotional stress. Or the symptoms can build up over time, with no single event to trigger them.
Women are more likely to get fibromyalgia than are men. Many people who have fibromyalgia also have:
Headaches.
Jaw and facial pain due to temporomandibular joint (TMJ) disorders.
Irritable bowel syndrome.
Anxiety.
Depression.
There's no cure for fibromyalgia. But medicines and other treatments can help control the symptoms. Exercise, talk therapy and techniques that lower stress also may help.","Fibromyalgia is a long-term condition that causes widespread pain all over the body. It often comes with fatigue, sleep problems, and issues with memory or mood. Experts believe it affects how the brain and spinal cord process pain signals, making you more sensitive to pain.
Symptoms can start after a physical or emotional event, or they may appear slowly over time.
Fibromyalgia is more common in women and often comes with other problems like headaches, jaw pain, stomach issues, anxiety, or depression.
There’s no cure, but medicine, gentle exercise, therapy, and stress-reduction techniques can help manage symptoms."
Folliculitis,"Folliculitis is a common skin condition that happens when hair follicles become inflamed. It's often caused by an infection with bacteria. At first it may look like small pimples around the tiny pockets from where each hair grows (hair follicles).
The condition can be itchy, sore and embarrassing. The infection can spread and turn into crusty sores.
Mild folliculitis will likely heal without scarring in a few days with basic self-care. More-serious or repeat infections may need prescription medicine. Left untreated, severe infections can cause permanent hair loss and scarring.
Certain types of folliculitis are known as hot tub rash and barber's itch.","Folliculitis is a skin condition where the hair follicles get inflamed, usually from a bacterial infection. It can look like small pimples around the base of hairs and may be itchy or painful.
In mild cases, it goes away in a few days with basic care, like cleaning the area and avoiding shaving or tight clothing.
More serious or repeat infections may need prescription creams or pills. If left untreated, it can lead to scars or permanent hair loss.
There are special names for certain types, like “hot tub rash” or “barber’s itch.”"
Gallstones,"Gallstones are hardened deposits of digestive fluid that can form in your gallbladder. Your gallbladder is a small, pear-shaped organ on the right side of your abdomen, just beneath your liver. The gallbladder holds a digestive fluid called bile that's released into your small intestine.
Gallstones range in size from as small as a grain of sand to as large as a golf ball. Some people develop just one gallstone, while others develop many gallstones at the same time.
People who experience symptoms from their gallstones usually require gallbladder removal surgery. Gallstones that don't cause any signs and symptoms typically don't need treatment.
","Gallstones are hard lumps that form in the gallbladder, a small organ under your liver that helps with digestion. They’re made from digestive fluids and can be as small as a grain of sand or as big as a golf ball.
Some people have just one gallstone, while others have many. Most people don’t feel anything, but if a gallstone blocks a bile duct, it can cause pain, nausea, or digestive problems.
If gallstones cause symptoms, the usual treatment is to remove the gallbladder with surgery. If there are no symptoms, treatment might not be needed."
Glaucoma,"Glaucoma is an eye condition that damages the optic nerve. This damage can lead to vision loss or blindness. The optic nerve sends visual information from your eye to the brain and is vital for good vision. Damage to the optic nerve is often related to high pressure in the eye. But glaucoma can happen even with typical eye pressure. Glaucoma can happen at any age but is more common in older adults. It is one of the leading causes of blindness for people over the age of 60.
Many forms of glaucoma have no warning signs. The effect is so gradual that you may not notice a change in vision until the condition is in its later stages.
It's important to have regular eye exams that include measurements of your eye pressure. If glaucoma is found early, vision loss can be slowed or prevented. If you have glaucoma, you'll need treatment or monitoring for the rest of your life.","Glaucoma is an eye disease that damages the optic nerve, which carries signals from your eyes to your brain. This damage can lead to vision loss or blindness, especially if it’s not caught early. It’s often caused by high pressure inside the eye, but not always.
Glaucoma is more common in older adults, and many people don’t notice symptoms until the disease is advanced. That’s why regular eye exams are important — they can help catch it before vision is lost.
If caught early, treatment can slow or prevent vision loss. Most people with glaucoma need ongoing treatment or monitoring for life."
Hashimoto's disease,"Hashimoto's disease is an autoimmune disorder affecting the thyroid gland. The thyroid is a butterfly-shaped gland located at the base of the neck just below the Adam's apple. The thyroid produces hormones that help regulate many functions in the body.
An autoimmune disorder is an illness caused by the immune system attacking healthy tissues. In Hashimoto's disease, immune-system cells lead to the death of the thyroid's hormone-producing cells. The disease usually results in a decline in hormone production (hypothyroidism).
Although anyone can develop Hashimoto's disease, it's most common among middle-aged women. The primary treatment is thyroid hormone replacement.
Hashimoto's disease is also known as Hashimoto's thyroiditis, chronic lymphocytic thyroiditis and chronic autoimmune thyroiditis.","Hashimoto’s disease is an autoimmune condition that affects the thyroid, a gland in the neck that helps control energy and other body functions. In this disease, the immune system attacks the thyroid, causing it to stop making enough hormones — a condition called hypothyroidism.
This can lead to tiredness, weight gain, feeling cold, and other symptoms. Hashimoto’s is most common in middle-aged women, but it can affect anyone.
There’s no cure, but it’s treatable with thyroid hormone pills, which help the body work normally again."
Heartburn,"Heartburn is a burning pain in your chest, just behind your breastbone. The pain is often worse after eating, in the evening, or when lying down or bending over.
Occasional heartburn is common and no cause for alarm. Most people can manage the discomfort of heartburn on their own with lifestyle changes and nonprescription medications.
Heartburn that is more frequent or interferes with your daily routine may be a symptom of a more serious condition that requires medical care.","Heartburn is a burning pain in the chest, usually behind the breastbone. It often happens after eating or when lying down and is caused by stomach acid moving up into the esophagus.
Occasional heartburn is common and usually not serious. Most people can manage it with lifestyle changes and over-the-counter medicine.
But if heartburn happens often or interferes with daily life, it could be a sign of a more serious condition and should be checked by a doctor."
Idiopathic hypersomnia,"Idiopathic hypersomnia is a condition that causes people to be very sleepy during the day even after a full night of sleep. People with the condition have trouble waking up from sleep. They also may wake up confused and disoriented. Naps typically don't lead to feeling refreshed. Idiopathic hypersomnia is not common, and the cause of the condition is not known.
The need to sleep can strike at any time, including when driving a car or working. This makes idiopathic hypersomnia potentially dangerous.
The condition often develops slowly over time. Diagnosing idiopathic hypersomnia requires ruling out more common sleep conditions. Treatment aims to control symptoms with medicine.","Idiopathic hypersomnia is a condition where people feel extremely sleepy during the day, even after getting a full night of sleep. They may also have a hard time waking up and feel confused or groggy.
Naps don’t help, and sleepiness can happen at dangerous times, like while driving. The cause is unknown, and the condition is rare.
It usually develops slowly over time. Doctors diagnose it by ruling out other sleep problems. There’s no cure, but medication can help manage symptoms."
Indigestion,"Indigestion — also called dyspepsia or an upset stomach — is discomfort in your upper abdomen. Indigestion describes certain symptoms, such as belly pain and a feeling of fullness soon after you start eating, rather than a specific disease. Indigestion can also be a symptom of other digestive disorders. Although indigestion is common, each person may experience indigestion in a slightly different way. Symptoms of indigestion may be felt occasionally or as often as daily.
Indigestion may often be relieved with lifestyle changes and medicines.","Indigestion, also called dyspepsia or an upset stomach, is discomfort in the upper belly. It might feel like pain, bloating, or getting full too fast while eating.
It’s a common problem and can happen once in a while or more often. Some people feel it daily, while others only get it occasionally.
Indigestion can be caused by food, stress, or other medical problems. It’s often managed with diet changes, stress management, and medicine."
Keratoconus,"Keratoconus (ker-uh-toe-KOH-nus) is an eye condition in which the clear, dome-shaped front of the eye, called the cornea, gets thinner, steeper and bulges outward into a cone shape.
A cone-shaped cornea causes blurred vision and may cause sensitivity to light and glare. Keratoconus usually affects both eyes. However, it can affect one eye more than the other. It generally begins to affect people between the late teens and 30 years of age. The condition may progress slowly for 10 years or longer.

In the early stages of keratoconus, you might be able to correct vision problems with glasses or soft contact lenses. Later, you may have to be fitted with rigid, gas permeable contact lenses or other types of lenses, such as scleral lenses. If your condition gets worse, you may need a cornea transplant.
A procedure called corneal collagen cross-linking may help to slow or stop keratoconus from progressing, possibly preventing the need for a future cornea transplant. This treatment may be offered in addition to the vision correction options above.","Keratoconus is an eye condition where the front part of the eye, called the cornea, becomes thin and bulges into a cone shape. This causes blurry vision and sensitivity to light.
It usually starts between the late teens and early 30s and may get worse over 10 years or more. Glasses or soft lenses may help early on, but many people need special hard lenses as the condition gets worse.
In more serious cases, a cornea transplant may be needed. A procedure called corneal cross-linking can also help slow or stop the condition from getting worse."
Klinefelter syndrome,"Klinefelter syndrome is a common condition that results when a person assigned male at birth has an extra copy of the X sex chromosome instead of the typical XY. Klinefelter syndrome is a genetic condition that occurs before birth, but it often isn't diagnosed until adulthood. Klinefelter syndrome may affect testicular growth. This results in smaller testicles, which can lead to making less of the hormone testosterone. The syndrome also may cause smaller muscle mass, less body and facial hair, and extra breast tissue. The effects of Klinefelter syndrome vary, and not everyone has the same symptoms.
Most people with Klinefelter syndrome produce little or no sperm, but assisted reproductive procedures may make it possible for some people with Klinefelter syndrome to have biological children.","Klinefelter syndrome is a genetic condition that happens when someone assigned male at birth has an extra X chromosome. This affects how the body grows and develops, especially in puberty. It may cause smaller testicles, lower testosterone levels, and changes like less facial hair or more breast tissue.
Not everyone with Klinefelter syndrome has the same symptoms. It’s often not diagnosed until adulthood.
Many people with this condition have low or no sperm, but fertility treatments may help some have biological children. Support and hormone therapy can help with symptoms."
Laryngitis,"Laryngitis is an inflammation of your voice box (larynx) from overuse, irritation or infection.
Inside the larynx are your vocal cords — two folds of mucous membrane covering muscle and cartilage. Normally, your vocal cords open and close smoothly, forming sounds through their movement and vibration.
How speech occurs
Speech occurs when air flows from the lungs, up the windpipe (trachea) and through the voice box (larynx). This causes the vocal cords to vibrate, creating sound. Sound is shaped into words by the muscles controlling the soft palate, tongue and lips.

Vocal cords open and closed
Vocal cords open when you breathe and then close to produce sound when vibrating together.
But with laryngitis, your vocal cords become inflamed or irritated. This makes the vocal cords swell, which distorts the sounds produced by air passing over them. As a result, your voice sounds hoarse. In some cases of laryngitis, your voice can become almost undetectable.
Laryngitis may be short-lived (acute) or long lasting (chronic). Most cases of laryngitis are triggered by a temporary viral infection and aren't serious. Persistent hoarseness can sometimes signal a more serious underlying medical condition.","Laryngitis is when the voice box (larynx) gets swollen, usually from overuse, a cold, or irritation. The vocal cords inside the larynx help you speak by vibrating when air passes over them. When they’re swollen, your voice may sound hoarse or even disappear.
Laryngitis can be short-term (from a virus) or long-lasting (from smoking or overuse). Most cases go away on their own in a few days.
If hoarseness lasts a long time, it could be a sign of another problem and should be checked by a doctor."
Leukemia,"Leukemia is cancer of the body's blood-forming tissues, including the bone marrow and the lymphatic system.
Many types of leukemia exist. Some forms of leukemia are more common in children. Other forms of leukemia occur mostly in adults.
Leukemia usually involves the white blood cells. Your white blood cells are potent infection fighters — they normally grow and divide in an orderly way, as your body needs them. But in people with leukemia, the bone marrow produces an excessive amount of abnormal white blood cells, which don't function properly.
Treatment for leukemia can be complex — depending on the type of leukemia and other factors. But there are strategies and resources that can help make your treatment successful.","Leukemia is a type of cancer that affects how your body makes blood, especially white blood cells. In leukemia, the body makes too many abnormal white blood cells that don’t work the way they should.
There are different types, some more common in children and others in adults.
Symptoms and treatments can vary, but care usually involves medications, chemotherapy, and sometimes bone marrow transplants. With the right treatment, many people live full lives."
Malaria,"Malaria is a disease caused by a parasite. The parasite is spread to humans through the bites of infected mosquitoes. People who have malaria usually feel very sick with a high fever and shaking chills.
While the disease is uncommon in temperate climates, malaria is still common in tropical and subtropical countries. Each year nearly 290 million people are infected with malaria, and more than 400,000 people die of the disease.
To reduce malaria infections, world health programs distribute preventive drugs and insecticide-treated bed nets to protect people from mosquito bites. The World Health Organization has recommended a malaria vaccine for use in children who live in countries with high numbers of malaria cases.
Protective clothing, bed nets and insecticides can protect you while traveling. You also can take preventive medicine before, during and after a trip to a high-risk area. Many malaria parasites have developed resistance to common drugs used to treat the disease.","Malaria is a serious disease caused by a parasite that spreads through the bite of an infected mosquito. It causes high fever, chills, and feeling very sick.
Malaria is rare in places like the U.S. but still common in many tropical countries. Every year, hundreds of thousands of people die from it.
You can help prevent malaria by using bug spray, bed nets, and taking preventive medicine when traveling to high-risk areas. There’s also a vaccine for young children in high-risk regions. Treatment is available, but some forms of malaria are harder to treat due to drug resistance."
Measles,"Measles, also called rubeola, was once a common childhood illness. It's caused by a virus that spreads easily through the air and settles on surfaces. A vaccine can prevent measles infection.
Most people recover from measles in about 10 days. It usually doesn't cause long-term medical issues. But measles can be serious and even deadly. This is especially true for children younger than age 5 and people with severely weakened immune systems.
Measles is treated by managing symptoms and preventing complications.
Get a measles vaccine when recommended to keep the virus from spreading. Because of vaccination, measles hasn't been common in the United States for more than two decades. Often, measles cases in the U.S. come from outside the country. Outbreaks are more common among people who are not vaccinated.
Measles illness causes a blotchy rash. It may be shades of red, purple or brown depending on your skin color. The rash most often shows up first on the face and behind the ears. The rash then spreads to the chest and back and finally to the feet.","Measles is a viral infection that spreads easily through the air and on surfaces. It usually starts with a fever and cough, followed by a blotchy rash that spreads from the face to the rest of the body.
Most people recover in about 10 days, but it can be dangerous — especially for young children and people with weak immune systems.
There is no cure, but symptoms can be managed. The measles vaccine is very effective at preventing the disease and has made it rare in many countries. Outbreaks mostly happen in areas with low vaccination rates."
Nearsightedness,"Nearsightedness is a common vision condition in which close objects look clear but far objects look blurry. The medical term for nearsightedness is myopia. Myopia happens when the shape of the eye — or the shape of certain parts of the eye — causes light rays to bend or refract. Light rays that should be focused on nerve tissues at the back of the eye, called the retina, are focused in front of the retina instead. Nearsightedness usually develops during childhood and adolescence. Typically, it becomes more stable between the ages of 20 and 40. It tends to run in families.
A basic eye exam can confirm nearsightedness. You can correct the blurry vision with eyeglasses, contact lenses or refractive surgery.","Nearsightedness, or myopia, is a vision problem where you can see things up close clearly, but things far away look blurry. It happens when the eye’s shape causes light to focus in front of the retina instead of directly on it.
Myopia usually starts in childhood or teenage years and tends to run in families.
It can be diagnosed with a basic eye exam. You can correct it with glasses, contact lenses, or laser surgery."
Neuroblastoma,"Neuroblastoma is a cancer that starts in cells called neuroblasts. Neuroblasts are immature nerve cells. They are found in several areas of the body.
Neuroblastoma most often starts in the neuroblasts in the adrenal glands. The adrenal glands are located on top of each kidney. The glands make hormones that control important functions in the body. Other parts of the body that have neuroblasts and can get neuroblastoma include the spine, belly, chest and neck.
Neuroblastoma usually affects children age 5 or younger. Symptoms vary, depending on where it occurs in the body.
Some forms of neuroblastoma may go away on their own. Other forms of neuroblastoma need treatment. Treatments include surgery, chemotherapy, radiation therapy and bone marrow transplant. Your child's healthcare team will select the neuroblastoma treatments that are best for your child.","Neuroblastoma is a type of cancer that starts in immature nerve cells called neuroblasts. It usually begins in the adrenal glands, which sit on top of the kidneys, but it can also appear in the chest, belly, spine, or neck.
This cancer mostly affects young children, especially those under age 5. Symptoms depend on where the tumor is in the body.
Some cases go away on their own, but others need treatment, which may include surgery, chemotherapy, radiation, or a bone marrow transplant. Doctors choose the best treatment plan based on the child’s case."
Oligodendroglioma,"Oligodendroglioma is a growth of cells that starts in the brain or spinal cord. The growth, called a tumor, begins in cells called oligodendrocytes. These cells make a substance that protects nerve cells and helps with the flow of electrical signals in the brain and spinal cord. Oligodendroglioma is most common in adults, but it can happen at any age. Symptoms include seizures, headaches, and weakness or disability in a part of the body. Where this happens in the body depends on which parts of the brain or spinal cord are affected by the tumor.
Treatment is with surgery, when possible. Sometimes surgery can't be done if the tumor is in a place that makes it hard to reach with surgical tools. Other treatments may be needed if the tumor can't be removed or if it's likely to come back after surgery.","Oligodendroglioma is a brain or spinal cord tumor that starts in cells called oligodendrocytes. These cells help protect nerve signals in the brain and spinal cord.
This type of tumor is rare and slow-growing, and more common in adults. It can cause seizures, headaches, or weakness depending on where it is in the nervous system.
Treatment often starts with surgery, but if the tumor can’t be safely removed or is likely to come back, radiation or chemotherapy may be used."
Osteoarthritis,"Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It happens when the protective cartilage that cushions the ends of the bones wears down over time.
Although osteoarthritis can damage any joint, the condition most commonly affects joints in the hands, knees, hips and spine.
Osteoarthritis symptoms can usually be managed, although the damage to joints can't be reversed. Staying active, maintaining a healthy weight and receiving certain treatments might slow progression of the disease and help improve pain and joint function.","Osteoarthritis is the most common type of arthritis. It happens when the cartilage that cushions your joints wears down over time. This can cause pain, stiffness, and make it harder to move.
It often affects the hands, knees, hips, and spine. The damage can’t be reversed, but the symptoms can be managed.
Staying active, keeping a healthy weight, and using medicine or physical therapy can help reduce pain and improve joint movement."
Pancreatitis,"Pancreatitis is inflammation of the pancreas. Inflammation is immune system activity that can cause swelling, pain, and changes in how an organ or tissues work.
The pancreas is a long, flat gland that's tucked behind the stomach. The pancreas helps the body digest food and regulates blood sugars.

Pancreatitis can be an acute condition. This means it appears suddenly and generally lasts a short time. Chronic pancreatitis is a long-term condition. The damage to the pancreas can get worse over time.
Acute pancreatitis may improve on its own. More-serious disease requires treatment in a hospital and can cause life-threatening complications.","Pancreatitis is when the pancreas becomes swollen and painful. The pancreas is a gland behind your stomach that helps digest food and control blood sugar.
It can happen suddenly (acute) or last a long time (chronic). Acute cases may go away on their own, but chronic ones can get worse over time.
Symptoms may include severe belly pain, nausea, and vomiting. Some cases need hospital care, especially if there are serious complications."
Parkinson's disease,"Parkinson's disease is a movement disorder of the nervous system that worsens over time. The nervous system is a network of nerve cells that controls many parts of the body, including movement.
Symptoms start slowly. The first symptom may be a barely noticeable tremor in just one hand or sometimes a foot or the jaw. Tremor is common in Parkinson's disease. But the disorder also may cause stiffness, slowing of movement and trouble with balance that raises the risk of falls.
In the early stages of Parkinson's disease, your face may show little or no expression. Your arms may not swing when you walk. Your speech may become soft or slurred. Symptoms get worse over time.
Although Parkinson's disease can't be cured, medicines may help symptoms get better. Sometimes a healthcare professional may suggest surgery to help control parts of the brain. This surgery may help lessen symptoms.","Parkinson’s disease is a nervous system disorder that affects movement. It usually starts slowly, with symptoms like a tremor in one hand or stiffness in the body.
Over time, it can cause slower movement, poor balance, and changes in speech or facial expression.
There is no cure, but medicines can help reduce symptoms. In some cases, surgery to target brain areas may also help."
Renal artery stenosis,"Renal artery stenosis is the narrowing of one or more arteries that carry blood to your kidneys (renal arteries).
Narrowing of the arteries prevents enough oxygen-rich blood from reaching your kidneys. Your kidneys need adequate blood flow to help filter waste products and remove excess fluids. Reduced blood flow to your kidneys may injure kidney tissue and increase blood pressure throughout your body.","Renal artery stenosis is when the arteries that bring blood to your kidneys become too narrow. This means the kidneys don’t get enough blood and can’t work properly.
It can lead to kidney damage and high blood pressure. If not treated, the kidneys can become injured.
Treatment may involve medications, lifestyle changes, or sometimes procedures to open the narrowed arteries."
